"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"CHA","2022-23",13,88,0.564102564102564,1,1,1,13,5,3,6,0.472222222222222,0.381944444444444,0.327996461742592,0.245184601618425,0.183364898989899,0.37211677812708,1,0,1,0,2,0.0742417383431417,0.0742417383431417,NA,NA,NA
"CHI","2022-23",11,90,0.818181818181818,5,5,1,11,5,2,7,0.2,0.2,0.163241758241758,0.166190476190476,0.0270740740740741,0.169677067071139,2,0.00734567901234568,1,0,2,0.0189035916824197,0.0189035916824197,NA,NA,NA
"CLE","2022-23",11,78,0.709090909090909,3,3,1,11,5,2,6,0.32,0.32,0.244401260504202,0.252165750915751,0.0768888888888889,0.278316069730697,1,0,1,0,2,0.0105462412114657,0.0105462412114657,NA,NA,NA
"DAL","2022-23",14,86,0.472527472527473,0,0,2,13,5,4,6,0.485207100591716,0.402366863905325,NA,NA,0.180752794214333,0.431244473495171,5,0.0181855056787452,2,0,3,0.0622829861111111,0.0622829861111111,NA,NA,NA
"DEN","2022-23",15,98,0.466666666666667,0,0,1,15,5,5,6,0.494897959183673,0.494897959183673,NA,0.370316953784031,0.295483852881812,0.460962958796401,4,0.0858496459808413,4,0.0465431070387339,3,0.115199704142012,0.115199704142012,NA,NA,NA
"DET","2022-23",14,93,0.510989010989011,2,2,1,14,5,5,6,0.526627218934911,0.526627218934911,0.34459246917881,0.35524795047611,0.195545693622617,0.421252704926678,1,0,1,0,2,0.0712,0.0712,NA,NA,NA
"GSW","2022-23",12,95,0.71969696969697,1,1,1,12,5,3,7,0.305785123966942,0.305785123966942,0.231483222659693,0.240124581301052,0.154734356552538,0.241796850225873,1,0,1,0,2,0.0382,0.0382,NA,NA,NA
"HOU","2022-23",11,83,0.754545454545455,3,3,1,11,5,2,7,0.16,0.16,0.110678733031674,0.110678733031674,0.0584656084656084,0.192205870811962,1,0,1,0,2,0.0245351239669421,0.0245351239669421,NA,NA,NA
"IND","2022-23",13,91,0.583333333333333,1,1,1,13,5,4,6,0.361111111111111,0.361111111111111,0.274987381648566,0.274987381648566,0.135816498316498,0.342666016706747,2,0.0400917763555126,3,0.0188383045525902,3,0.0347353497164461,0.0400917763555126,NA,NA,NA
"LAC","2022-23",15,110,0.523809523809524,2,2,1,15,5,5,7,0.357142857142857,0.510204081632653,0.214797363246611,0.354734041579272,0.200715493297911,0.378531400745657,2,0.119628099173554,5,0.0146280991735538,2,0.115484056305659,0.119628099173554,NA,NA,NA
"LAL","2022-23",18,114,0.372549019607843,0,0,3,16,5,6,7,0.477508650519031,0.41522491349481,NA,NA,0.116349480968858,0.51083306861724,4,0.116343490304709,3,0,5,0.142083333333333,0.142083333333333,NA,NA,NA
"MEM","2022-23",12,95,0.71969696969697,3,3,1,12,5,3,7,0.305785123966942,0.305785123966942,0.231863703422949,0.23301564745415,0.0579456906729634,0.255942415104978,1,0,1,0,2,0.0297962322183776,0.0297962322183776,NA,NA,NA
"MIA","2022-23",11,88,0.8,3,3,1,11,5,2,7,0.22,0.22,0.174012066365008,0.18139652014652,0.046473544973545,0.180976239233367,1,0,1,0,2,0.00354442344045366,0.00354442344045366,NA,NA,NA
"MIL","2022-23",14,86,0.472527472527473,0,0,2,13,5,6,7,0.485207100591716,0.402366863905325,NA,NA,0.174063116370809,0.410118523748239,4,0.0175094645754462,3,0,3,0.06337709370756,0.06337709370756,NA,NA,NA
"MIN","2022-23",12,96,0.727272727272727,2,2,1,12,5,3,7,0.297520661157025,0.297520661157025,0.235114885114885,0.231868131868132,0.125009838646202,0.24159120678942,3,0.000162760416666692,1,0,2,0.0306122448979592,0.0306122448979592,NA,NA,NA
"NOP","2022-23",12,105,0.795454545454545,3,3,1,12,5,3,8,0.223140495867769,0.223140495867769,0.182627978082523,0.174570996130242,0.0453719008264463,0.179725140168459,1,0,1,0,2,0.00754458161865568,0.00754458161865568,NA,NA,NA
"NYK","2022-23",11,81,0.736363636363636,3,3,1,11,5,2,6,0.29,0.29,0.227876535229476,0.234285714285714,0.0562142857142857,0.252726274797793,1,0,1,0,2,0.0306122448979592,0.0306122448979592,NA,NA,NA
"OKC","2022-23",14,103,0.565934065934066,3,3,1,14,5,5,7,0.467455621301775,0.467455621301775,0.314167558077081,0.323058648549966,0.130128205128205,0.373941194808092,1,0,1,2.22044604925031e-16,2,0.059504132231405,0.059504132231405,NA,NA,NA
"ORL","2022-23",13,87,0.557692307692308,1,1,1,13,5,3,6,0.388888888888889,0.388888888888889,0.249314340216127,0.247736595591707,0.169322691197691,0.369003270464008,1,0,1,0,3,0.0678166351606805,0.0678166351606805,NA,NA,NA
"PHI","2022-23",13,86,0.551282051282051,1,1,1,13,5,6,6,0.486111111111111,0.486111111111111,0.322869089445176,0.339496375370988,0.222811447811448,0.381589068324151,1,0,1,0,2,0.0500945179584121,0.0500945179584121,NA,NA,NA
"PHX","2022-23",17,94,0.345588235294118,0,0,3,15,5,5,6,0.4296875,0.49609375,NA,NA,0.198289930555556,0.506939513630899,3,0,3,0,5,0.0810079133694294,0.0810079133694294,NA,NA,NA
"POR","2022-23",12,64,0.484848484848485,0,0,2,11,5,4,6,0.363636363636364,0.363636363636364,NA,NA,0.165785123966942,0.403317166448426,2,0,2,0,4,0.0346020761245675,0.0346020761245675,NA,NA,NA
"SAC","2022-23",11,72,0.654545454545455,0,0,1,11,5,4,6,0.38,0.27,NA,0.224890977443609,0.137759259259259,0.286462363801917,4,0.00289351851851853,2,1.11022302462516e-16,3,0.0536703601108033,0.0536703601108033,NA,NA,NA
