"team","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance","season"
"DEN",18,189,0.61764705882353,2,2,1,18,5,5,10,0.342560553633218,0.342560553633218,0.23645761955898,0.233970492546083,0.0792485844605222,0.30809971497833,4,0.0323479185913048,5,0.0100221158422218,2,0.0837151187005414,0.0837151187005414,10.6381137966636,10.8547796559553,8.65790487465423,"2021-22"
"DET",27,422,0.601139601139601,1,1,1,27,5,8,14,0.414201183431953,0.334319526627219,0.292662026103995,0.229111019669278,0.0708703071206552,0.326410675865406,3,0.0580624873655129,7,0.0287448619752475,2,0.130702381954381,0.130702381954381,19.5379715078024,19.5919049578242,15.9934964339946,"2021-22"
"GSW",15,195,0.928571428571429,8,8,1,15,5,2,13,0.076530612244898,0.076530612244898,0.0654761904761904,0.0669642857142857,0.00470957613814757,0.064525886155764,1,0,1,0,1,0,0,7.15911992706641,6.60978421575638,6.65221427690695,"2021-22"
"HOU",17,229,0.841911764705882,8,8,1,17,5,0,0,0.171875,0.171875,0.148088234626421,0.146676349965824,0.0113784233706109,0.149307579232237,2,0.0231974981407677,3,0.00257432161858098,2,0.0375483965227555,0.0375483965227555,3.9062630398594,4.20207348832581,5.05813288750657,"2021-22"
"IND",26,400,0.615384615384615,1,1,1,26,5,8,13,0.3168,0.3168,0.223894754615757,0.223419500153728,0.0748309731399205,0.297884035115071,4,0.074975,7,0.0318562499999999,2,0.0918273645546373,0.0918273645546373,21.7079576902388,21.8297368992272,16.5406543189865,"2021-22"
"LAC",21,259,0.616666666666667,0,0,1,21,5,5,10,0.2975,0.2975,NA,0.221931911646567,0.0442341905901116,0.309747766163237,3,0.105283165128725,8,0.0257449948569639,2,0.119959901982624,0.119959901982624,13.3908980517968,13.5580788398874,11.6446966461361,"2021-22"
"LAL",22,270,0.584415584415584,4,4,1,22,5,6,11,0.385487528344671,0.285714285714286,0.252914710922488,0.170067995690283,0.0562709210668394,0.322406447778502,3,0.0490260631001372,4,0.00930041152263383,3,0.0914102082942391,0.0914102082942391,11.2548813534387,11.7547883909889,8.71710937446527,"2021-22"
"MEM",22,258,0.558441558441558,1,1,1,22,5,7,13,0.312925170068027,0.312925170068027,0.191632997460364,0.167568165518131,0.0738468944761462,0.3081908819178,2,0.0397512168739859,6,0.0225347034433029,3,0.0978826530612245,0.0978826530612245,19.8160477210805,21.1444894506463,17.9295780737105,"2021-22"
"MIA",21,298,0.70952380952381,5,5,1,21,5,4,11,0.305,0.2525,0.228282034890849,0.17737410203087,0.0279350309777941,0.238616395856538,2,0.0563488131165263,1,0,3,0.0684980603811773,0.0684980603811773,9.75844273044169,9.82854686483775,8.18850792451557,"2021-22"
"MIL",28,415,0.548941798941799,0,0,1,28,5,8,13,0.390946502057613,0.352537722908093,NA,0.24284164021481,0.057647969759025,0.355501738175589,4,0.019253883001887,2,0.00934823631876891,4,0.0706983024691358,0.0706983024691358,19.8978321766111,20.0690460359231,11.2784997057417,"2021-22"
